round,method,citation_conflict,reasoning_conflict,verdict_conflict,rule_alignment_distance,total_conflict
70,FedLoRA,0.36950452275339474,0.2514946320597151,0.2534650231596611,0.33761664755739795,0.2987141056076581
71,FedLoRA,0.36531005824468693,0.23554492418013045,0.2465483766712627,0.3419261155838896,0.2920133090998045
72,FedLoRA,0.373563534398227,0.22786016807625975,0.2531509647864855,0.3310372136297493,0.29124411794500593
73,FedLoRA,0.3658423370048708,0.22938384710739584,0.24513385936060275,0.3383403239848815,0.2892272680205634
74,FedLoRA,0.3559494620347974,0.22993197225618672,0.24403551544905988,0.3359976559951234,0.286175367246845
75,FedLoRA,0.3578726758040426,0.24295535556058773,0.2532336727726428,0.3307245301358734,0.2918080998395224
76,FedLoRA,0.3532276365460421,0.2294752082492471,0.24381572223709072,0.3270941260236524,0.2835222273752878
77,FedLoRA,0.3571734559186509,0.23207476731554644,0.24546557650822898,0.3233773273003144,0.28495765376144677
78,FedLoRA,0.35371172322853683,0.2187097928634228,0.24757229974420866,0.33782046480429195,0.2834980365630716
79,FedLoRA,0.35763737617991104,0.22510878787383432,0.24710933253000364,0.3199335432321412,0.28270602218605717
80,FedLoRA,0.3526968356090829,0.22531634501519515,0.23998690231316339,0.33262600140970655,0.2822910382670614
81,FedLoRA,0.336784636903567,0.23041191908768646,0.2405336666531462,0.3260467891462439,0.27866250944473303
82,FedLoRA,0.3463573963395817,0.21375932004693327,0.2348393010572495,0.3194486112583478,0.2733166926149573
83,FedLoRA,0.3470690510839091,0.2199125280531273,0.24636854758512727,0.31372024390738656,0.2770772068646746
84,FedLoRA,0.34221690571354146,0.21648136949242813,0.239558674534552,0.32296905607164245,0.27498211712408027
85,FedLoRA,0.34347810935840956,0.206929244660674,0.2294818539919659,0.3246697415283978,0.2702527125414756
86,FedLoRA,0.33183814069432294,0.21135562319517553,0.23371921510329968,0.3096300859067936,0.266722043089317
87,FedLoRA,0.3272899766737845,0.20832327108341395,0.23597919575475076,0.3110989196140525,0.2655340583549685
88,FedLoRA,0.3364560524503709,0.19440239433472456,0.23353253961401907,0.31615680816192165,0.26404922794889923
89,FedLoRA,0.32238459667037817,0.21041555126878156,0.23901681488603257,0.3108971474206902,0.26565444775387514
90,FedLoRA,0.31374278981545434,0.20855220948144368,0.2354793690009855,0.3175509667221127,0.2633813958929656
91,FedLoRA,0.3307951151666426,0.20118239760388945,0.22467927840061142,0.3030466543599597,0.2598326485449723
92,FedLoRA,0.31826197093335473,0.1943077218239324,0.22569907295788458,0.306968224817531,0.25567622248349575
93,FedLoRA,0.318754709146864,0.20975908285903716,0.21851746108321654,0.2963745935972637,0.25652068613468404
94,FedLoRA,0.31020731540688967,0.2010339044449688,0.2249635545628287,0.3114941251108606,0.25640171384809235
95,FedLoRA,0.3086659708022377,0.20411342681428585,0.22327334763896828,0.29576126041558404,0.25337110973770405
96,FedLoRA,0.30772321017789334,0.20506745426750936,0.23484834339727112,0.28678418984700216,0.25451996264344434
97,FedLoRA,0.31056191746137707,0.19208917861531777,0.2206421292252245,0.2956189262087565,0.24955155049799702
98,FedLoRA,0.3130281571129871,0.19871323345533318,0.20852185898663356,0.2939868744538148,0.24879884895226806
99,FedLoRA,0.2951227224210636,0.19103549231651898,0.21447200375039532,0.30271062621073314,0.24525145447996705
100,FedLoRA,0.31154294693926937,0.19076537234660332,0.21724885203279606,0.28989977207266454,0.24740751586153026
1,Conflict-aware,0.5004992936283277,0.3495177047489932,0.32847287349043447,0.4172605861421814,0.39555047043282476
2,Conflict-aware,0.5003490032505934,0.34558581355540297,0.31852734098943875,0.41317905777461944,0.3910306416815528
3,Conflict-aware,0.5025568871947035,0.34080866408836163,0.32348031058023047,0.408844159146517,0.39052073049954533
4,Conflict-aware,0.4889480827236763,0.33747348550948236,0.31359343694485853,0.415947000461827,0.38506682566234385
5,Conflict-aware,0.4918894581396018,0.3455776709020337,0.32086149877219716,0.4085609881747303,0.3885732381335059
6,Conflict-aware,0.48512279423815113,0.35503287005225725,0.31212584809138294,0.4092187858537222,0.38766577876880515
7,Conflict-aware,0.47663477236327473,0.3305490625520981,0.3072008704240465,0.40268927514097996,0.37566148449065573
8,Conflict-aware,0.47531125020296927,0.33917073542300685,0.30736755707403646,0.4039394547312289,0.37820881339239926
9,Conflict-aware,0.4714871908914006,0.3319447416541256,0.3034396818519314,0.3962474063111511,0.37256462194430084
10,Conflict-aware,0.4623233556787177,0.3208386664465751,0.3062828855631979,0.3974801262015604,0.36789918548476347
11,Conflict-aware,0.47164072613466207,0.32283894032698324,0.3042685081790374,0.39815053562417757,0.37045909780135533
12,Conflict-aware,0.45261849435806634,0.3201851816544935,0.3016600765454014,0.3931141628550262,0.36324802979322024
13,Conflict-aware,0.4645668971811687,0.31455680276377224,0.2968031942809914,0.38826948471058204,0.36236346063678815
14,Conflict-aware,0.45990782166204847,0.3274373611192951,0.27940304885113887,0.38280653612919857,0.35962023318992503
15,Conflict-aware,0.45029785058931304,0.301603665565802,0.29631164687031464,0.386781313607579,0.3544897367561633
16,Conflict-aware,0.4429714063937692,0.3125468349983018,0.2845219815530641,0.3853894569622609,0.35271528887865106
17,Conflict-aware,0.4429462049856785,0.309503148445057,0.29339630421660945,0.3801126674651176,0.3529591053271126
18,Conflict-aware,0.4439145172144641,0.30132245203341035,0.2960179164882901,0.37531560831968175,0.35044296569964806
19,Conflict-aware,0.4423414417240121,0.3030156856863439,0.2899381909028373,0.37965073687901313,0.3499047612384181
20,Conflict-aware,0.4364416152644152,0.3047348030497439,0.28484247883374114,0.3871398097735552,0.34916942639417325
21,Conflict-aware,0.43754140216778487,0.29776769273387405,0.2841271129579938,0.37102976640605656,0.3439533898828182
22,Conflict-aware,0.42514361850461196,0.29676856949946506,0.28261382426470527,0.3720541350516783,0.3403807585525045
